Exchanges [Primary Listing],CIK
Nasdaq Capital Market (NasdaqCM),1239819
Nasdaq Global Select (NasdaqGS),1041368
Nasdaq Capital Market (NasdaqCM),1448431
Nasdaq Global Market (NasdaqGM),1360214
NYSE MKT LLC (NYSEAM),1069394
Nasdaq Capital Market (NasdaqCM),25895
Nasdaq Capital Market (NasdaqCM),1435508
Nasdaq Global Market (NasdaqGM),31667
Nasdaq Capital Market (NasdaqCM),1066194
Nasdaq Global Market (NasdaqGM),1337068
NYSE MKT LLC (NYSEAM),829323
NYSE MKT LLC (NYSEAM),352955
Nasdaq Capital Market (NasdaqCM),353184
Nasdaq Capital Market (NasdaqCM),1007019
Nasdaq Capital Market (NasdaqCM),1016178
Nasdaq Global Select (NasdaqGS),76605
Nasdaq Capital Market (NasdaqCM),1275101
Nasdaq Capital Market (NasdaqCM),1008586
Nasdaq Capital Market (NasdaqCM),1015155
Nasdaq Global Market (NasdaqGM),1000230
Nasdaq Global Select (NasdaqGS),1023459
Nasdaq Capital Market (NasdaqCM),1158780
Nasdaq Global Market (NasdaqGM),806279
Nasdaq Capital Market (NasdaqCM),1302028
Nasdaq Global Market (NasdaqGM),889609
Nasdaq Global Market (NasdaqGM),947559
NYSE MKT LLC (NYSEAM),862692
-,0001660046; 0001416282; 0001691787
Nasdaq Capital Market (NasdaqCM),1397016
Nasdaq Capital Market (NasdaqCM),932781
NYSE MKT LLC (NYSEAM),728387
Nasdaq Global Market (NasdaqGM),1090009
Nasdaq Capital Market (NasdaqCM),1124524
NYSE MKT LLC (NYSEAM),1026655
Nasdaq Capital Market (NasdaqCM),1137883
Nasdaq Capital Market (NasdaqCM),766792
Nasdaq Global Market (NasdaqGM),811831
Nasdaq Capital Market (NasdaqCM),12239
Nasdaq Capital Market (NasdaqCM),915358
Nasdaq Global Select (NasdaqGS),1752036
Nasdaq Global Market (NasdaqGM),46129
NYSE MKT LLC (NYSEAM),66418
Nasdaq Global Market (NasdaqGM),0001273805; 0001367859
-,882361
Nasdaq Capital Market (NasdaqCM),1133818
Nasdaq Capital Market (NasdaqCM),1019034
NYSE MKT LLC (NYSEAM),89140
-,1385849
Nasdaq Global Market (NasdaqGM),1119083
Nasdaq Global Market (NasdaqGM),921183
NYSE MKT LLC (NYSEAM),1326205
Nasdaq Capital Market (NasdaqCM),882291
Nasdaq Global Select (NasdaqGS),39311
NYSE MKT LLC (NYSEAM),1036262
Nasdaq Global Market (NasdaqGM),1370450
Nasdaq Capital Market (NasdaqCM),838875
Nasdaq Capital Market (NasdaqCM),744452
NYSE MKT LLC (NYSEAM),1437226
Nasdaq Capital Market (NasdaqCM),38264
Nasdaq Capital Market (NasdaqCM),7623
Nasdaq Capital Market (NasdaqCM),1435064
Nasdaq Capital Market (NasdaqCM),1094038
Nasdaq Capital Market (NasdaqCM),885307
Nasdaq Global Market (NasdaqGM),738214
Nasdaq Capital Market (NasdaqCM),1173313
Nasdaq Capital Market (NasdaqCM),806172
Nasdaq Capital Market (NasdaqCM),722572
Nasdaq Capital Market (NasdaqCM),1004989
Nasdaq Capital Market (NasdaqCM),1213037
Nasdaq Capital Market (NasdaqCM),0001500375; 0001429527; 0001302901
Nasdaq Capital Market (NasdaqCM),96536
Nasdaq Capital Market (NasdaqCM),1289636
NYSE MKT LLC (NYSEAM),96793
Nasdaq Capital Market (NasdaqCM),1299969
Nasdaq Capital Market (NasdaqCM),814676
Nasdaq Capital Market (NasdaqCM),889971
Nasdaq Capital Market (NasdaqCM),1168455
Nasdaq Capital Market (NasdaqCM),849146
-,1166272
Nasdaq Capital Market (NasdaqCM),807863
Nasdaq Capital Market (NasdaqCM),0001609065; 0001046188
NYSE MKT LLC (NYSEAM),701719
-,1437424
NYSE MKT LLC (NYSEAM),19871
-,316888
Nasdaq Capital Market (NasdaqCM),1133416
NYSE MKT LLC (NYSEAM),744825
Nasdaq Capital Market (NasdaqCM),1378590
Nasdaq Global Market (NasdaqGM),356037
Nasdaq Capital Market (NasdaqCM),1417926
Nasdaq Capital Market (NasdaqCM),924168
Nasdaq Global Market (NasdaqGM),740664
Nasdaq Capital Market (NasdaqCM),0000718332; 0000078916
Nasdaq Global Select (NasdaqGS),1562463
Nasdaq Capital Market (NasdaqCM),1386570
NYSE MKT LLC (NYSEAM),1179821
Nasdaq Capital Market (NasdaqCM),0001541119; 0001410087
Nasdaq Capital Market (NasdaqCM),351789
NYSE MKT LLC (NYSEAM),102109
Nasdaq Capital Market (NasdaqCM),1382574
NYSE MKT LLC (NYSEAM),894158
Nasdaq Global Select (NasdaqGS),1730984
Nasdaq Capital Market (NasdaqCM),1328792
Nasdaq Capital Market (NasdaqCM),1693577
Nasdaq Capital Market (NasdaqCM),720875
Nasdaq Capital Market (NasdaqCM),944075
Nasdaq Capital Market (NasdaqCM),1013706
Nasdaq Capital Market (NasdaqCM),1175151
Nasdaq Capital Market (NasdaqCM),1369568
Nasdaq Capital Market (NasdaqCM),1040470
-,1922641
NYSE MKT LLC (NYSEAM),12040
Nasdaq Capital Market (NasdaqCM),811641
Nasdaq Capital Market (NasdaqCM),1282224
Nasdaq Capital Market (NasdaqCM),1450704
Nasdaq Capital Market (NasdaqCM),862861
Nasdaq Capital Market (NasdaqCM),0001001171; 0001362057
NYSE MKT LLC (NYSEAM),732026
Nasdaq Capital Market (NasdaqCM),1085243
-,1713748
NYSE MKT LLC (NYSEAM),105744
Nasdaq Capital Market (NasdaqCM),1290476
Nasdaq Capital Market (NasdaqCM),1422892
NYSE MKT LLC (NYSEAM),1030192
Nasdaq Capital Market (NasdaqCM),98338
Nasdaq Capital Market (NasdaqCM),1302387
NYSE MKT LLC (NYSEAM),40570
Nasdaq Capital Market (NasdaqCM),884144
Nasdaq Capital Market (NasdaqCM),722313
Nasdaq Capital Market (NasdaqCM),1014763
Nasdaq Capital Market (NasdaqCM),924719
Nasdaq Capital Market (NasdaqCM),0001023185; 0000727207
Nasdaq Capital Market (NasdaqCM),1016838
Nasdaq Capital Market (NasdaqCM),1157075
New York Stock Exchange (NYSE),320340
Nasdaq Capital Market (NasdaqCM),0001385777; 0000087050
NYSE MKT LLC (NYSEAM),65312
NYSE MKT LLC (NYSEAM),896493
Nasdaq Capital Market (NasdaqCM),109657
NYSE MKT LLC (NYSEAM),1061069
NYSE MKT LLC (NYSEAM),1171155
Nasdaq Capital Market (NasdaqCM),942126
Nasdaq Capital Market (NasdaqCM),355019
Nasdaq Capital Market (NasdaqCM),0001823365; 0001356261
Nasdaq Capital Market (NasdaqCM),834365
Nasdaq Capital Market (NasdaqCM),1026785
Nasdaq Capital Market (NasdaqCM),1024672
Nasdaq Capital Market (NasdaqCM),33992
Nasdaq Global Market (NasdaqGM),1098146
NYSE MKT LLC (NYSEAM),61004
Nasdaq Capital Market (NasdaqCM),1045742
Nasdaq Capital Market (NasdaqCM),1288855
-,0001888172; 0001896084
Nasdaq Capital Market (NasdaqCM),1386301
Nasdaq Capital Market (NasdaqCM),704440
Nasdaq Capital Market (NasdaqCM),1042187
NYSE MKT LLC (NYSEAM),887396
Nasdaq Capital Market (NasdaqCM),1070680
Nasdaq Capital Market (NasdaqCM),837852
Nasdaq Capital Market (NasdaqCM),720154
Nasdaq Capital Market (NasdaqCM),828146
Nasdaq Capital Market (NasdaqCM),788920
Nasdaq Capital Market (NasdaqCM),1211583
Nasdaq Capital Market (NasdaqCM),736012
-,1512228
-,0001696804; 0001023549
Nasdaq Global Market (NasdaqGM),948320
Nasdaq Capital Market (NasdaqCM),890447
Nasdaq Capital Market (NasdaqCM),785557
Nasdaq Capital Market (NasdaqCM),1354866
Nasdaq Capital Market (NasdaqCM),1360565
Nasdaq Capital Market (NasdaqCM),1005516
Nasdaq Capital Market (NasdaqCM),922247
Nasdaq Capital Market (NasdaqCM),849145
Nasdaq Capital Market (NasdaqCM),64463
Nasdaq Capital Market (NasdaqCM),1080340
NYSE MKT LLC (NYSEAM),843006
Nasdaq Global Market (NasdaqGM),-
Nasdaq Capital Market (NasdaqCM),1396536
Nasdaq Capital Market (NasdaqCM),73290
Nasdaq Capital Market (NasdaqCM),1348362
Nasdaq Capital Market (NasdaqCM),1314196
Nasdaq Global Market (NasdaqGM),1088034
Nasdaq Capital Market (NasdaqCM),803578
Nasdaq Capital Market (NasdaqCM),0001043720; 0001505497
Nasdaq Capital Market (NasdaqCM),923601
Nasdaq Capital Market (NasdaqCM),912061
Nasdaq Capital Market (NasdaqCM),1334325
Nasdaq Capital Market (NasdaqCM),867840
Nasdaq Capital Market (NasdaqCM),1291855
Nasdaq Global Select (NasdaqGS),1144879
Nasdaq Capital Market (NasdaqCM),1467761
NYSE MKT LLC (NYSEAM),1009891
Nasdaq Capital Market (NasdaqCM),1104038
Nasdaq Capital Market (NasdaqCM),1070050
