Exchanges [Primary Listing],CIK
Nasdaq Global Select (NasdaqGS),856982
Nasdaq Global Select (NasdaqGS),883984
Nasdaq Global Select (NasdaqGS),1159036
Nasdaq Global Select (NasdaqGS),105132
New York Stock Exchange (NYSE),850429
Nasdaq Global Select (NasdaqGS),1066605
Nasdaq Global Select (NasdaqGS),1158172
Nasdaq Global Select (NasdaqGS),752714
Nasdaq Global Select (NasdaqGS),711377
Nasdaq Global Select (NasdaqGS),884624
New York Stock Exchange (NYSE),1164863
New York Stock Exchange (NYSE),1324948
Nasdaq Global Select (NasdaqGS),1297989
Nasdaq Global Select (NasdaqGS),715787
Nasdaq Global Select (NasdaqGS),1145197
Nasdaq Global Select (NasdaqGS),932696
New York Stock Exchange (NYSE),0001420800; 0001068015
New York Stock Exchange (NYSE),1318568
Nasdaq Global Select (NasdaqGS),1304421
New York Stock Exchange (NYSE),0001104485; 0001388955
Nasdaq Capital Market (NasdaqCM),0001407764; 0001412100
Nasdaq Global Select (NasdaqGS),726854
-,1221029
NYSE MKT LLC (NYSEAM),1006281
Nasdaq Global Select (NasdaqGS),20212
Nasdaq Global Select (NasdaqGS),886744
New York Stock Exchange (NYSE),890541
Nasdaq Global Select (NasdaqGS),1169445
Nasdaq Capital Market (NasdaqCM),1157762
Nasdaq Global Select (NasdaqGS),1462418
Nasdaq Global Select (NasdaqGS),1013488
Nasdaq Global Select (NasdaqGS),1362004
New York Stock Exchange (NYSE),789933
Nasdaq Global Select (NasdaqGS),1077428
Nasdaq Global Select (NasdaqGS),1116942
New York Stock Exchange (NYSE),96869
New York Stock Exchange (NYSE),1360901
Nasdaq Global Select (NasdaqGS),0000021327; 0000317540
New York Stock Exchange (NYSE),836157
Nasdaq Global Select (NasdaqGS),1569650
NYSE MKT LLC (NYSEAM),1047335
Nasdaq Global Select (NasdaqGS),1034842
Nasdaq Global Select (NasdaqGS),1334036
New York Stock Exchange (NYSE),57131
Nasdaq Capital Market (NasdaqCM),1131554
New York Stock Exchange (NYSE),97134
New York Stock Exchange (NYSE),850141
New York Stock Exchange (NYSE),0001076499; 0001286681
New York Stock Exchange (NYSE),896264
New York Stock Exchange (NYSE),837465
Nasdaq Global Select (NasdaqGS),0000930420; 0001318262
Nasdaq Global Select (NasdaqGS),0000101199; 0001521471
Nasdaq Global Select (NasdaqGS),850460
Nasdaq Global Select (NasdaqGS),357301
Nasdaq Global Select (NasdaqGS),1039065
New York Stock Exchange (NYSE),1261654
Nasdaq Global Select (NasdaqGS),0001118404; 0000354963
New York Stock Exchange (NYSE),0001263813; 0001494904
Nasdaq Global Select (NasdaqGS),1278021
New York Stock Exchange (NYSE),1434754
New York Stock Exchange (NYSE),84748
Nasdaq Global Select (NasdaqGS),90498
Nasdaq Global Select (NasdaqGS),0001366046; 0000912562
New York Stock Exchange (NYSE),1035983
Nasdaq Global Select (NasdaqGS),821026
Nasdaq Global Select (NasdaqGS),719220
New York Stock Exchange (NYSE),892553
New York Stock Exchange (NYSE),944148
New York Stock Exchange (NYSE),1433660
Nasdaq Global Select (NasdaqGS),861842
Nasdaq Global Select (NasdaqGS),944809
New York Stock Exchange (NYSE),42682
Nasdaq Global Select (NasdaqGS),1115055
-,0000930689; 0000931427; 0001676772; 0001312956
New York Stock Exchange (NYSE),910329
Nasdaq Global Select (NasdaqGS),1289848
Nasdaq Global Select (NasdaqGS),0001005284; 0000857809
New York Stock Exchange (NYSE),763744
